OfficeSymbols_2014\Clouds\Azure.svg, 2457, 1619, 65%
OfficeSymbols_2014\Clouds\Cloud.svg, 2137, 1254, 58%
OfficeSymbols_2014\Clouds\Cloud_Disaster.svg, 3468, 2277, 65%
OfficeSymbols_2014\Clouds\Cloud_Disaster_red.svg, 3146, 2202, 69%
OfficeSymbols_2014\Clouds\Cloud_Exchange_Online.svg, 4611, 3212, 69%
OfficeSymbols_2014\Clouds\Cloud_Service_Request.svg, 5712, 4427, 77%
OfficeSymbols_2014\Clouds\Cloud_SharePoint_Online.svg, 4327, 3020, 69%
OfficeSymbols_2014\Clouds\Office_365_Cloud.svg, 2864, 1868, 65%
OfficeSymbols_2014\Clouds\Online_Backup.svg, 3008, 1834, 60%
OfficeSymbols_2014\Clouds\Online_User.svg, 3684, 2567, 69%
OfficeSymbols_2014\Clouds\Private_Cloud.svg, 1774, 899, 50%
OfficeSymbols_2014\Clouds\Public_Cloud.svg, 7963, 5571, 69%
OfficeSymbols_2014\Clouds\Public_IM_Cloud_Service.svg, 10733, 8083, 75%
OfficeSymbols_2014\Communications\3rd_Party_Call_Center_Solution.svg, 5454, 3745, 68%
OfficeSymbols_2014\Communications\3rd_Party_Integration.svg, 3943, 2398, 60%
OfficeSymbols_2014\Communications\3rd_Party_Service.svg, 6646, 5186, 78%
OfficeSymbols_2014\Communications\Application_Sharing_Workload.svg, 4726, 2834, 59%
OfficeSymbols_2014\Communications\Audio_Conferencing_Application.svg, 3091, 2161, 69%
OfficeSymbols_2014\Communications\Central_Management_Service.svg, 4610, 3592, 77%
OfficeSymbols_2014\Communications\Chat_Room.svg, 4968, 3463, 69%
OfficeSymbols_2014\Communications\Conference_Announcement_Service.svg, 6501, 4935, 75%
OfficeSymbols_2014\Communications\Disconnected_Mailbox.svg, 2954, 1641, 55%
OfficeSymbols_2014\Communications\Discovery_Search_Mailbox.svg, 3525, 2227, 63%
OfficeSymbols_2014\Communications\Dynamic_Distribution_Group.svg, 5915, 4025, 68%
OfficeSymbols_2014\Communications\Edge_Subscription.svg, 3132, 1952, 62%
OfficeSymbols_2014\Communications\Email_Workload.svg, 3209, 1705, 53%
OfficeSymbols_2014\Communications\Equipment_Mailbox.svg, 3237, 1930, 59%
OfficeSymbols_2014\Communications\Exchange_Active_Sync-blue.svg, 2066, 1226, 59%
OfficeSymbols_2014\Communications\Exchange_Active_Sync.svg, 2464, 1429, 57%
OfficeSymbols_2014\Communications\Fax_Partner.svg, 2489, 1629, 65%
OfficeSymbols_2014\Communications\Global_Address_List.svg, 9483, 6401, 67%
OfficeSymbols_2014\Communications\Hybrid_VoIP_Gateway.svg, 5267, 3577, 67%
OfficeSymbols_2014\Communications\IM_Workload.svg, 3011, 1724, 57%
OfficeSymbols_2014\Communications\Journaling_Rule.svg, 3247, 1780, 54%
OfficeSymbols_2014\Communications\Local_Move_Request.svg, 2916, 1488, 51%
OfficeSymbols_2014\Communications\Lync_Control_Panel.svg, 4506, 3085, 68%
OfficeSymbols_2014\Communications\Lync_Phone_Edition.svg, 5028, 3780, 75%
OfficeSymbols_2014\Communications\Lync_Room_System.svg, 8158, 5827, 71%
OfficeSymbols_2014\Communications\Lync_Server_Management_Tool.svg, 4089, 2665, 65%
OfficeSymbols_2014\Communications\Lync_Storage_Service.svg, 6465, 4898, 75%
OfficeSymbols_2014\Communications\Lync_Web_App_Client.svg, 7990, 5168, 64%
OfficeSymbols_2014\Communications\Mail-Enabled_Public_Folder.svg, 4101, 2281, 55%
OfficeSymbols_2014\Communications\Mailbox_Assistant.svg, 3559, 2051, 57%
OfficeSymbols_2014\Communications\Messages_Queued.svg, 3197, 1726, 53%
OfficeSymbols_2014\Communications\Offline_Address_Book.svg, 5986, 4024, 67%
OfficeSymbols_2014\Communications\Personal_Archive_Mailbox.svg, 3470, 1860, 53%
OfficeSymbols_2014\Communications\Public_IM_Cloud_Service.svg, 10295, 8077, 78%
OfficeSymbols_2014\Communications\Push_Notification_Service.svg, 5247, 4064, 77%
OfficeSymbols_2014\Communications\Queue_Viewer.svg, 4667, 2644, 56%
OfficeSymbols_2014\Communications\Remote_Mailbox.svg, 6889, 4092, 59%
OfficeSymbols_2014\Communications\Remote_Move_Request.svg, 7121, 4319, 60%
OfficeSymbols_2014\Communications\Response_Group.svg, 5890, 4624, 78%
OfficeSymbols_2014\Communications\Response_Group_Service.svg, 5890, 4624, 78%
OfficeSymbols_2014\Communications\Room_Mailbox.svg, 8857, 6138, 69%
